output_1,output_2,output_3
-0.0072,a,-0.0387
0.0992,a,0.7838
0.151,a,2.293
0.2161,a,3.0198
0.288,a,2.7215
0.3344,a,1.9755
0.3658,a,1.3887
0.434,a,1.4626
0.4671,a,1.7982
0.5095,a,2.1918
0.5253,a,2.1853
0.5555,a,2.0354
0.5601,a,1.8774
0.6109,a,1.7524
0.6344,a,1.9261
0.6233,a,2.0628
0.6347,a,2.0039
0.6647,a,2.139
0.6549,a,1.8644
0.6781,a,1.9272
0.6843,a,1.8492
0.7021,a,1.971
0.6814,a,1.9142
0.7088,a,1.9733
0.7159,a,1.9448
0.7007,a,1.896
0.7214,a,1.8236
0.7333,a,2.0411
0.7179,a,2.1638
0.7309,a,2.184
0.7387,a,1.9636
0.7341,a,1.9949
0.7573,a,1.9594
0.7513,a,2.0039
0.7396,a,1.9267
0.7503,a,1.8481
0.7597,a,1.9984
0.7521,a,1.902
0.7564,a,1.847
0.7582,a,2.1891
0.7601,a,1.9811
0.7403,a,2.0326
0.7474,a,2.0958
0.7513,a,1.8653
0.7394,a,2.0329
0.7419,a,2.0398
0.7599,a,2.0065
0.7603,a,2.0126
0.7663,a,1.9578
0.7611,a,2.0579
0.75,a,1.9319
